text,label,language
"Здравствуйте, Преподаватель игнорирует сообщения. Срочно нужна помощь.",Преподаватели,ru
"Hello, I cannot access the library",Библиотека,en
I have a problem: The document status is not displayed. I do not know what to do.,Документы,en
Нет доступа к документам,Документы,ru
I cannot access the library,Библиотека,en
Преподаватель не проверяет задания,Преподаватели,ru
Нужна акадеическая справка,Документы,ru
"Дабрый деннь, нужен certificate для визы. Помогите пожалуйста.",Документы,mixed
"Hello, The document status is not displayed. I have been trying to solve this for several days.",Документы,en
Не могу посмотреть реультаты,Экзамены,ru
"Could you please help me, The teacher does not reply to messages. I do not know what to do.",Преподаватели,en
The registration was canceled automatically. e have been trying to solve this for sevaral days.,Регистрация,en
I cannot log in to my student account,IT-проблемы,en
Платеж прошел два раза,Финансы,ru
I have a problem: The system does not allow me to choose a group. I do not know wha to do.,Регистрация,en
Паспортные данные указаны неверно,Иностранные студенты,ru
passport issue with uneversity office. This iz very important.,Иностранные студенты,en
There is a registration problem. I need urgent help.,Регистрация,en
не вижу schedule на сегодня,Расписание,mixed
"Подскажите пожалуйста, кабинет не грузится. Срочно нужна помощь.",IT-проблемы,ru
The document contains an error,Документы,en
I have a problem accessing the university portal,IT-проблемы,en
Ошибка сервера при открытии страницы. Это очень важно.,IT-проблемы,ru
Система не дает выбрать группу,Регистрация,ru
Проблема с библиотечным аккаунтом,Библиотека,ru
"Could you please help me, My foreign documents are not accepted. I need urgent help.",Иностранные студенты,en
"Добрый день, Не могу выбрать дисциплину. Это очень важно.",Регистрация,ru
The teacher is ignoring my messages,Преподаватели,en
Не хватает инфомации для иностранных студентов,Иностранные студенты,ru
The class was moved without notificateon,Расписание,en
Система не принимает заявление,Документы,ru
Не согласен с оценкой преподавателя,Преподаватели,ru
"Подскжите пожалуйста, Пара исчезла из расписания. Срочно нужна помощь.",Расписание,ru
"Could you please help me, I need housing as an international student. I need urgent help.",Иностранные студенты,en
"Помогите, не могу download справку. Уже несколько дней не могу решить проблему.",Документы,mixed
"Здравсттвуйте, электронка библиотеки лагает. Уже нескалько дней не могу решить проблему.",Библиотека,ru
"Здравствуйте, лектор отменил пару. Срочно нужна помащь.",Преподаватели,ru
Ошибка при регистрации на предмет,Регистрация,ru
The grade is unfair,Преподаватели,en
I have a problem: dormitory confirmation is mizsing. I have been trying to solve this for several days.,Иностранные студенты,en
The payment is stuck in the system,Финансы,en
Система отклоняет оплату,Финансы,ru
"Здравствуйте, деньги сняли а статус unpaid",Финансы,ru
"Помогите, паспорт не приняли в деканате. Срочно нужна помощь.",Иностранные студенты,ru
A regestration error occurred. I do not know what to do.,Регистрация,en
В расписании нет моей группы,Расписание,ru
деньги сняли а статус unpaid,Финансы,ru
Система выдает ошибку при авторизации,IT-проблемы,ru
У меня проблема: Не знаю какие документы нужны для визы. Уже несколько дней не могу решить проблему.,Иностранные студенты,ru
Возникла ошибка регистрации,Регистрация,ru
teacher игнорит сообщения,Преподаватели,mixed
"Coul you please help me, course registration failed. I have been trying to solve this for several days.",Регистрация,en
Не удается скачать учебный материал,Библиотека,ru
"Hello, Error while viewing grades. This is very important.",Экзамены,en
exam results disappeared,Экзамены,en
passport данные неправильные,Иностранные студенты,mixed
У меня проблема: Нет доступа к документам. Это очень важно.,Документы,ru
"Good afternoon, The student portal is not working. Please help me.",IT-проблемы,en
"Подскажите пожалуйста, Проблема при выборе учебной программы. Уже несколько дней не могу решить проблему.",Регистрация,ru
"личный кабнет не работает. Я не знаю, что делать.",IT-проблемы,ru
There is a problem with exam results,Экзамены,en
I need help with my passport. I do not know what to do.,Иностранные студенты,en
"Could you please help me, The pass result is misseng. I nead urgent help.",Экзамены,en
У меня проблема: регистрация слетела. Срочно нужна помощь.,Регистрация,ru
money charged but still unpaid,Финансы,en
"Здравствуйте, Не могу зарегистрироваться на семестр. Я не знаю, что делать.",Регистрация,ru
My foreign documents are not accepted,Иностранные студенты,en
Не могу найти аудиторию,Расписание,ru
"Could you please help me, professor ignores messages. Please help me.",Преподаватели,en
I do not have access to study materials,Библиотека,en
"Please help, There is a conflict in the class schedule",Расписание,en
dorm payment issue,Финансы,en
I cannot get medical insurance,Иностранные студенты,en
"Подскажите пожалуйста, Система выдает ошибку при авторизации. Эта очень важно.",IT-проблемы,ru
There is a problem with the online schedule,Расписание,en
"Подскажите пожалуйста, Не могу отправить задание через платформу. Это очень важно.",IT-проблемы,ru
payment прошел но квитанции нет,Финансы,mixed
"Добрый день, Не могу открыть экзаменационный лист. Срочно нужна помощь.",Экзамены,ru
"Please help, The grade is unfair. Please help me.",Преподаватели,en
Не могу зарегистрироваться на курс,Регистрация,ru
There is a problem with the payment. This is very important.,Финансы,en
registration для foreign student не готова,Иностранные студенты,mixed
Результаты появились с ошибкой,Экзамены,ru
Регистрация была отменена автоматически,Регистрация,ru
"Good afternoon, There is a problem with document processing. I do not know what to do.",Документы,en
"Good afternoon, The system does not accept my file. I have been trying to solve this for several days.",IT-проблемы,en
The passport copy was not accepted,Иностранные студенты,en
The schedule in the system does not match,Расписание,en
I have a problem: The digital library is not working. Please help me.,Библиотека,en
Оценка отсутствует в системе,Экзамены,ru
I cannot get a certificate. Please help me.,Документы,en
A registrateon error occurred,Регистрация,en
The teacher replies rudely,Преподаватели,en
У меня проблема: не могу download книгу. Срочно нужна помощь.,Библиотека,mixed
The system does not accept my application,Документы,en
"Good afternoon, Error while requesting a document. I do not know what to do.",Документы,en
"Could you please help me, Error while viewing grades",Экзамены,en
зачет не поставили,Экзамены,ru
"Здравствуйте, Не могу посмотреть результаты. Помогите пожалуйста.",Экзамены,ru
Платеж не проходит,Финансы,ru
У меня проблема: нужен certificate для визы. Уже несколько дней не могу решить проблему.,Документы,mixed
Не могу восстановитть пароль. Помагите пожалуйста.,IT-проблемы,ru
препод не отвечает in chat,Преподаватели,mixed
"Hello, There is a problem with the payment. I do not know what to do.",Финансы,en
"Подскажите пожалуйста, Документ не готов. Я не знаю, что делать.",Документы,ru
There is no information in English,Иностранные студенты,en
"Подскажите пожалуйста, Жалоба на преподавателя. Уже несколько дней не могу решить проблему.",Преподаватели,ru
Платеж не проходит. Уже несколько дней не могу решить проблему.,Финансы,ru
Проблема с регистрацией,Регистрация,ru
student account не работает,IT-проблемы,mixed
"Hello, I need help with my passport. Please help me.",Иностранные студенты,en
I have a problem: I have a problem renewing a book. I need urgent help.,Библиотека,en
"Подскажите пожалуйста, Нет досттупа к информации об экзамене",Экзамены,ru
"Hello, The payment is stuck in the system. I have been trying to solve this for several days.",Финансы,en
I do not have access to documents. I need urgent help.,Документы,en
I have a problem: There is a problem with exam results. This is very important.,Экзамены,en
У меня проблема: Не могу продлить срок книги. Уже несколько дней не могу решить проблему.,Библиотека,ru
Не могу отправить задании через платформу,IT-проблемы,ru
I have a problem accessing the university portal,IT-проблемы,en
The grade is incorrect,Экзамены,en
Конфликт в расписании занятий,Расписание,ru
"Здравствуйте, Неправильно стоит оценка за тест. Это очень важнно.",Экзамены,ru
"Добрый день, Система выдает ошибку при авторизации",IT-проблемы,ru
Не могу зарегистрироваться на семистр,Регистрация,ru
Ошибка при регисрации на предмет,Регистрация,ru
Не отображаются результаты экзамена,Экзамены,ru
Лектор не пришел на занятие,Преподаватели,ru
Не могу получить студенческий билет,Документы,ru
The payment is stuck in the system,Финансы,en
The teacher did not upload the materials,Преподаватели,en
"Please help, wrong classroom in schedule. e need urgent help.",Расписание,en
The system does not accept my application,Документы,en
"Please help, I cannot reset my password",IT-проблемы,en
"Please help, Error while viewing grades. Please help me.",Экзамены,en
Не могу зайти в кабинет,IT-проблемы,ru
"Помогите, Не могу зайти в кабинет. Уже несколько дней не могу решить проблему.",IT-проблемы,ru
There is a problem with exam results. I need urgent help.,Экзамены,en
"Hello, I do not know how to extend my registration. I have been trying to solve this for several days.",Иностранные студенты,en
login problem in university system,IT-проблемы,en
аплата не проходит,Финансы,ru
аудитория не та. Это очень важно.,Расписание,ru
Библиотека не дает скачать файл,Библиотека,ru
не доет enroll в предмет,Регистрация,mixed
I cannot contact the teacher,Преподаватели,en
"Good afternoon, Exam registration is not displayed. I have been trying to solve this for several days.",Регистрация,en
lecturer canceled the class,Преподаватели,en
Error while applying for a visa,Иностранные студенты,en
book file does not open,Библиотека,en
лектор отменил пару,Преподаватели,ru
не вижу exam results,Экзамены,mixed
"Hello, The system does not accept my applecati0n",Документы,en
"Подскажите пожалуйста, Документ оформлин с ошибкой",Документы,ru
"Добрый день, Ошибка при просмотре оценок. Это очень важно.",Экзамены,ru
училка не проверила работу,Преподаватели,ru
Лектор не пришел на занятие,Преподаватели,ru
"Подскажитте пожалуйста, Не могу получить место в общежитии. Уже нескалько дне не могу решеть проблему.",Иностранные студенты,ru
"Hello, registration error. Please help me.",Регистрация,en
Ошибка в оценках,Экзамены,ru
Ни могу получить справку,Документы,ru
"Здравствуйте, Занятее перенесена без уведомления",Расписание,ru
I have a problem: money charged but still unpaid. Please help me.,Финансы,en
The tuition invoice is displayed incorrectly,Финансы,en
У меня проблема: grade неправилный,Экзамены,mixed
Ни могу отправеть заданее чериз платформу,IT-проблемы,ru
"Please help, The payment is stuck in the system",Финансы,en
"Здравствуйте, teacher игнорит сообщения. Помогите пожалуйста.",Преподаватели,mixed
Не загружается электронная платформа,IT-проблемы,ru
Не могу отправить задание через платформу. Это очень важно.,IT-проблемы,ru
"Good afternoon, The system shows an errr during authorization",IT-проблемы,en
не могу записаться,Регистрация,ru
There is a conflict with a teacher,Преподаватели,en
У меня проблема: сайт универа keeps crashing,IT-проблемы,mixed
There is a problem paying for the dormitory,Финансы,en
У меня проблема: лектор отменил пару. Помогите пожалуйста.,Преподаватели,ru
"Добрый день, Не удается скачать учебный материал. Я не знаю, что делать.",Библиотека,ru
расписание shows wrong classroom,Расписание,mixed
зачет missing in system,Экзамены,mixed
"Could you please help me, The class disappeared from the schedule. I do not know what to do.",Расписание,en
I have a problem: course registration failed. I do not know what to do.,Регистрация,en
"Please help, digital library is lagging. I need urgent help.",Библиотека,en
digital library is lagging,Библиотека,en
деканат не обновил документ,Документы,ru
не вижу exam results,Экзамены,mixed
У меня проблема: Документ не готов. Уже несколько дней не могу решить проблему.,Документы,ru
teacher игнорит сообщения,Преподаватели,mixed
"Помогите, не вижу оценки. Это очень важно.",Экзамены,ru
"Hello, The money was charged but the payment was not confirmed. This is very important.",Финансы,en
не могу login в личный кабинет,IT-проблемы,mixed
"Помогите, Пара исчезла из расписания. Это очень важно.",Расписание,ru
Ошибка при регистрации на предмет,Регистрация,ru
The tuition invoice is displayed incorrectly,Финансы,en
"Здравствуйте, мед анализы не приняли. Я не знаю, что делать.",Иностранные студенты,ru
"Could you please help me, login problem in university system",IT-проблемы,en
"Good afternoon, I have a problem with a teacher. I have been trying to solve this for several days.",Преподаватели,en
"Подскажите пожалуйста, Курс недоступен для регистрации. Это очень важно.",Регистрация,ru
"Good afternoon, The teacher replies rudely. Please help me.",Преподаватели,en
не дает выбрать курс,Регистрация,ru
регистрацея слетела,Регистрация,ru
"Подскажите пожалуйста, Не отображается регистрация на экзамен. Я не знаю, что делать.",Регистрация,ru
The documant c0ntains an error,Документы,en
I disagree with the teacher's grade. I have been trying to solve this for several days.,Преподаватели,en
"Здравствуйте, Система не позволяет зарегистрироваться. Я не знаю, что делать.",Регистрация,ru
I have a problem: I cannot enroll in a subject. Please help me.,Регистрация,en
I cannt extend my visa,Иностранные студенты,en
У меня проблема: паспорт не приняли в деканате,Иностранные студенты,ru
"Помогите, Преподаватель грубо отвечает. Я не знаю, что делать.",Преподаватели,ru
I cannot enroll in a subject,Регистрация,en
"Здравствуйте, Платформа не принимает файл",IT-проблемы,ru
I cannot complete my residence registration,Иностранные студенты,en
Проблема с университетскими документами,Документы,ru
I have a problem: I cannot get a certificate,Документы,en
The schedule in the system does not match,Расписание,en
Не могу посмотреть результаты,Экзамены,ru
Ошибка в расписании,Расписание,ru
Изменилось время занятий,Расписание,ru
"Good afternoon, I do not have access to exam information",Экзамены,en
"Please help, I did not receive credit for the exam. This is very important.",Экзамены,en
I have a problem: wrong exam grade. This is very important.,Экзамены,en
The online learning system is ot working,IT-проблемы,en
visa extnsion problem,Иностранные студенты,en
"Please help, I have a problem renewing a book. I do not know what to do.",Библиотека,en
"Здравствуйте, ошибка регестрации. Это очень важно.",Регистрация,ru
нужен certificate для визы,Документы,mixed
Не отображаются результаты экзамена,Экзамены,ru
library account не работает,Библиотека,mixed
"Подскажите пожалуйста, Жалоба на преподавателя. Срочно нужна помощь.",Преподаватели,ru
"Could you please help me, I did not receive credit for the exam. I do not know what to do.",Экзамены,en
Login error in my account,IT-проблемы,en
There is a conflect in the class schedule,Расписание,en
"Please help, The library website does not let me download the file. I need urgent help.",Библиотека,en
"Hello, My transcript is not ready. I do not know what to do.",Документы,en
Ошибка в расписании,Расписание,ru
"Памогите, не могу записаться. Это очень важнно.",Регистрация,ru
Не работает электронная библиотека,Библиотека,ru
"Помогите, Не могу посмотреть результаты. Уже несколько дней не могу решить проблему.",Экзамены,ru
"Сайт университета не открывается. Я не знаю, что делать.",IT-проблемы,ru
не вижу exam results,Экзамены,mixed
"Здравствуйте, личный кабнет не работает",IT-проблемы,ru
"Could you please help me, Error while registering for a subject",Регистрация,en
The payment receipt did not arrive,Финансы,en
uni website is down. Please help me.,IT-проблемы,en
teacher игнорит сообщения,Преподаватели,mixed
"Could you please help me, I cannot pay for the semester. I need urgent help.",Финансы,en
There is an error in my grades,Экзамены,en
"Добрый день, ашибка при оплате через портал. Помогите пожалуйста.",Финансы,ru
"C0uld you please help me, Exam enrollmant is not 0pening. I need urgent help.",Регистрация,en
Книга недоступна,Библиотека,ru
Сайт университета лагает,IT-проблемы,ru
"Помогите, не понимаю что делать с визой. Я не знаю, что делать.",Иностранные студенты,ru
There is a problem with the migration office,Иностранные студенты,en
Система выбрасывает меня из аккаунта. Уже несколько дней не могу решить проблему.,IT-проблемы,ru
I disagree with the teacher's grade,Преподаватели,en
I have a problem: The study material is blocked. Please help me.,Библиотека,en
The registration was canceled automatically. I have been trying to solve this for several days.,Регистрация,en
"книга не открывается. Я не зннаю, что делать.",Библиотека,ru
"Подскажите пожалуйста, Не пришла квитанция об оплате. Уже несколько дней не могу решить проблему.",Финансы,ru
Не хватает информации для иностранных студентов,Иностранные студенты,ru
не вижу exam results,Экзамены,mixed
Не согласен с оценкой преподавателя,Преподаватели,ru
The class was moved without notification,Расписание,en
не могу egister на курс,Регистрация,mixed
Не могу найти аудиторию,Расписание,ru
"Hello, digital library is lagging. Please help me.",Библиотека,en
I cannot choose a discipline. I do not know what to do.,Регистрация,en
Проблема с оформлением документов,Документы,ru
I have a problem: The teacher does not reply to messages. This is very important.,Преподаватели,en
The international students office does not reply,Иностранные студенты,en
I cannot complete the registration,Регистрация,en
document tatus не обновляется,Документы,mixed
I cannot enroll in a subject,Регистрация,en
Преподаватель поставил неправильную оценку. Помогите пожалуйста.,Преподаватели,ru
Не могу получить справку,Документы,ru
I hae a problem with a teacher,Преподаватели,en
"Hello, I cannot contact the teacher. Please help me.",Преподаватели,en
Не могу оплатить семестр,Финансы,ru
I have a problem: Error while requesting a document. I do not know what to do.,Документы,en
There es a problem ch0osing the ztudy program,Регистрация,en
registration для foreign studen не готова,Иностранные студенты,mixed
"Подскажите пожалуйста, Не открывается запись на экзамен. Это очень важно.",Регистрация,ru
"Good afternoon, The grade is unfair. Please help me.",Преподаватели,en
"Подскажите пожалуйста, Проблема с онлайн расписанием. Это очень важно.",Расписание,ru
"Помогите, расписание кривое. Уже несколько дней не могу решить проблему.",Расписание,ru
"Please help, There is a conflict in the class schedule. This is very important.",Расписание,en
Нужна помощь с жильем,Иностранные студенты,ru
не могу register на курс. Срочно нужна помощь.,Регистрация,mixed
не могу extend visa. Это очень важно.,Иностранные студенты,mixed
"Good afternoon, The schedule is displayed incorrectly. I do not know what to do.",Расписание,en
Жалоба на преподавателя,Преподаватели,ru
"Здравствуйте, Не могу получить квитанцию",Финансы,ru
Exam results are not displayed,Экзамены,en
The system shows an error during authorization,IT-проблемы,en
exam results disappeared. I need urgent help.,Экзамены,en
"Please help, I cannot complete the registration. I do not know what to do.",Регистрация,en
I have a problem: student account not loading. This is very important.,IT-проблемы,en
uni website is down,IT-проблемы,en
"Could you please help me, The schedule in the system does n0t match. I need urgent help.",Расписание,en
"Добрый день, Не могу восстановить пароль. Помогите пожалуйста.",IT-проблемы,ru
I have a problem: document request not processed. I have been trying to solve this for several days.,Документы,en
Ошибка при оплате через портал,Финансы,ru
Счит за обучение атображается неверно,Финансы,ru
"Could you please help me, There is an error in my grades. I have been trying to solve this for several days.",Экзамены,en
"Помогите, Не отображается информация об оплате. Я не знаю, что делать.",Финансы,ru
login pr0blem in university system. This is very important.,IT-проблемы,en
teacher игнорит сообщения,Преподаватели,mixed
There is an error in my grades,Экзамены,en
I do not know what documents are needed for visa. I do not know what to do.,Иностранные студенты,en
"Помогите, Нет доступа к учебным материалам. Помогите пожалуйста.",Библиотека,ru
The document is not ready,Документы,en
Регистрация была отменена автоматически,Регистрация,ru
"Could you please help me, I cannot get my student ID card. I have been trying to solve this f0r several days.",Документы,en
"Подскажите пожалуйста, Не могу получить студенческий билет. Уже несколько дней не могу решить проблему.",Документы,ru
Не знаю как продлить регистрацию,Иностранные студенты,ru
"Добрый день, регистрация слетела. Я не знаю, что делать.",Регистрация,ru
"Здравствуйте, Книга недоступна. Срочно нужна помощь.",Библиотека,ru
I have a problem: exam results disappeared. This is very important.,Экзамены,en
"Подскажите пожалуйста, не дает enroll в предмет",Регистрация,mixed
The online learning system is not working,IT-проблемы,en
"Good afternoon, My document request is stuck in the system. This is very important.",Документы,en
I cannot accass the lebrary,Библиотека,en
Не могу записаться на предмет,Регистрация,ru
"Помогите, document status не обновляется",Документы,mixed
"Could you please help me, There is a problem paying for the dormitory. This is very important.",Финансы,en
The library website does not let me download the file,Библиотека,en
Система выбрасывает меня из аккаунта,IT-проблемы,ru
Не могу продлить срок книги,Библиотека,ru
"Could you please help me, The teacher canceled the class. Pleese halp me.",Преподаватели,en
экзамен не отображается. Срочно нужна помощь.,Экзамены,ru
"Hello, The student portal is not working. I do not know what to do.",IT-проблемы,en
I have a problem: I need an academic certificate. I do not know what to do.,Документы,en
"Подскажите пожалуйста, Не приходит код подтверждения. Уже несколько дней не могу решить проблему.",IT-проблемы,ru
Error while viewing grades,Экзамены,en
"Could you please help me, tuition payment problem",Финансы,en
не вижу exam results,Экзамены,mixed
Преподаватель игнорируит сообщения,Преподаватели,ru
"Hello, A registration error occurred. Please help me.",Регистрация,en
There is a problem with dormitory for international students. I need urgent help.,Иностранные студенты,en
Конфликт в расписании занятий,Расписание,ru
The tuition invoice is displayed incorrectly,Финансы,en
"Добрый деннь, личный кабнет не рабатает. Помогите пожалуйста.",IT-проблемы,ru
receipt is missing. I have been trying to solve this for several days.,Финансы,en
I have a problem renewing a book. I do not know what to do.,Библиотека,en
не могу оплатить общагу,Финансы,ru
Error while applying for a visa,Иностранные студенты,en
The grade is missing in the system. I have been trying to solve this for several days.,Экзамены,en
My document request is stuck in the system,Документы,en
Не могу выбрать дисциплину,Регистрация,ru
Жалоба на преподавателя,Преподаватели,ru
I do not have access to exam information,Экзамены,en
library account не работает,Библиотека,mixed
У меня проблема: Не приходит код подтверждения. Помогите пожалуйста.,IT-проблемы,ru
I cannot reset my password,IT-проблемы,en
Заявление зависло в системе,Документы,ru
училка не проверила работу,Преподаватели,ru
I cannot extend the book loan period,Библиотека,en
I have a problem: There is a problem with the payment. Thiz is very important.,Финансы,en
"Hello, I cannot complete the registration. This is very important.",Регистрация,en
"Could you please help me, My studant poral is frozen. This is very important.",IT-проблемы,en
"Добрый день, не вижу schedule на сегодня. Помогите пожалуйста.",Расписание,mixed
не вижу exam rsults,Экзамены,mixed
"Помогите, Проблема с университетскими документами. Помогите пожалуйста.",Документы,ru
"Добрый день, аплата не проходит. Уже несколько дней не могу решить проблему.",Финансы,ru
Payment information is not displayed,Финансы,en
I have a problem: The payment receipt did not arrive,Финансы,en
I need a document for my visa,Документы,en
"Помогите, Не получается завершить регистрацию. Срочно нужна помощь.",Регистрация,ru
"Добрый день, не вижу exam results",Экзамены,mixed
"Please help, I cannot see my class. This is very important.",Расписание,en
электронная library лагает,Библиотека,mixed
препод игнорит,Преподаватели,ru
Документ офармлен с ошибкой,Документы,ru
Изменилось время занятий,Расписание,ru
"Could you please help me, uni website is down. This is very important.",IT-проблемы,en
"Hello, exam results disappeared. e have been trying to solve this for severel days.",Экзамены,en
The results appeared with an error,Экзамены,en
Не отображается статус документа,Документы,ru
Error while registering for a subject,Регистрация,en
I cannot extend my visa. Please help me.,Иностранные студенты,en
"Please help, Exam registration is not displayed. I do not know what to do.",Регистрация,en
"Please help, The system does not accept my file. I have baen trying to solve this for severel days.",IT-проблемы,en
Результаты появились с ошибкой,Экзамены,ru
"Подскажитте пожалуйста, Не работает онлайн система обучения. Помогите пожалуйста.",IT-проблемы,ru
